,train_loss,val_loss,train_acc,val_acc,train_precision,train_recall,train_f1,val_precision,val_recall,val_f1,epoch_time,total_time
0,1.0619001239538193,1.3966050148010254,47.24409448818898,50.0,0.46774193548387094,0.4603174603174603,0.46399999999999997,0.5,1.0,0.6666666666666666,2.328374147415161,20.779881954193115
1,0.8898879289627075,0.5145359039306641,51.181102362204726,55.88235294117647,0.504424778761062,0.9047619047619048,0.6477272727272727,1.0,0.11764705882352941,0.21052631578947367,1.8006970882415771,20.779881954193115
2,0.6889476180076599,0.48699699342250824,59.84251968503937,55.88235294117647,1.0,0.19047619047619047,0.32,1.0,0.11764705882352941,0.21052631578947367,1.6832497119903564,20.779881954193115
3,0.5875065475702286,0.4867035299539566,66.92913385826772,52.94117647058823,0.6981132075471698,0.5873015873015873,0.6379310344827586,0.5263157894736842,0.5882352941176471,0.5555555555555555,1.7079548835754395,20.779881954193115
4,0.5853223353624344,0.4206068590283394,63.77952755905512,58.8235294117647,0.6103896103896104,0.746031746031746,0.6714285714285714,0.8,0.23529411764705882,0.3636363636363636,1.717587947845459,20.779881954193115
5,0.5310216546058655,0.405865415930748,73.22834645669292,61.76470588235294,0.8918918918918919,0.5238095238095238,0.6599999999999999,0.8333333333333334,0.29411764705882354,0.4347826086956522,1.616231918334961,20.779881954193115
6,0.5135771408677101,0.4048086106777191,76.37795275590551,61.76470588235294,0.8367346938775511,0.6507936507936508,0.7321428571428571,0.625,0.5882352941176471,0.6060606060606061,2.007366895675659,20.779881954193115
7,0.4640771597623825,0.3639742136001587,81.10236220472441,55.88235294117647,0.8679245283018868,0.7301587301587301,0.7931034482758621,0.5833333333333334,0.4117647058823529,0.4827586206896552,1.930967092514038,20.779881954193115
8,0.40583694726228714,0.3420617235824466,81.10236220472441,61.76470588235294,0.8979591836734694,0.6984126984126984,0.7857142857142857,0.6428571428571429,0.5294117647058824,0.5806451612903226,1.9529390335083008,20.779881954193115
9,0.35954655706882477,0.40811916068196297,81.88976377952756,73.52941176470588,0.9166666666666666,0.6984126984126984,0.7927927927927927,0.6538461538461539,1.0,0.7906976744186047,1.7469210624694824,20.779881954193115
10,0.4462011717259884,0.38825632026419044,73.22834645669292,61.76470588235294,0.7101449275362319,0.7777777777777778,0.7424242424242424,1.0,0.23529411764705882,0.38095238095238093,1.9700281620025635,20.779881954193115
